epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
41,6749,,79.21636962890625,,,,,
41,6761,,,304.68634033203125,44767148.0,763.1814575195312,0.5772327184677124,172.7727813720703
41,6761,116.21793365478516,,,,,,
42,6799,,124.6207275390625,,,,,
42,6849,,105.12793731689453,,,,,
42,6899,,110.31025695800781,,,,,
42,6922,,,329.75439453125,40578312.0,812.1840209960938,0.6197503805160522,179.06448364257812
42,6922,115.2190170288086,,,,,,
43,6949,,106.82240295410156,,,,,
43,6999,,94.83523559570312,,,,,
43,7049,,131.2956085205078,,,,,
43,7083,,,312.7550048828125,37483868.0,785.4702758789062,0.5994328856468201,179.68128967285156
43,7083,115.2109375,,,,,,
44,7099,,111.45950317382812,,,,,
44,7149,,109.17176055908203,,,,,
44,7199,,116.9540023803711,,,,,
44,7244,,,309.6173095703125,45636624.0,779.0722045898438,0.5917736291885376,174.02740478515625
44,7244,116.90166473388672,,,,,,
45,7249,,106.45851135253906,,,,,
45,7299,,150.8797149658203,,,,,
45,7349,,112.6594467163086,,,,,
45,7399,,77.15766906738281,,,,,
45,7405,,,315.5420227050781,47812608.0,786.6364135742188,0.5872330665588379,175.31265258789062
45,7405,119.90885925292969,,,,,,
46,7449,,144.04318237304688,,,,,
46,7499,,91.08386993408203,,,,,
46,7549,,120.31167602539062,,,,,
46,7566,,,291.4254150390625,40869072.0,733.7910766601562,0.5953046679496765,165.9819793701172
46,7566,115.13813781738281,,,,,,
47,7599,,107.50021362304688,,,,,
47,7649,,84.46910858154297,,,,,
47,7699,,98.37582397460938,,,,,
47,7727,,,292.02825927734375,36979728.0,735.4004516601562,0.5753063559532166,165.6954345703125
47,7727,114.32952880859375,,,,,,
48,7749,,103.83623504638672,,,,,
48,7799,,129.58804321289062,,,,,
48,7849,,146.04661560058594,,,,,
48,7888,,,290.904052734375,51988568.0,723.2855834960938,0.5800079107284546,165.3466339111328
48,7888,116.51361083984375,,,,,,
49,7899,,99.20150756835938,,,,,
49,7949,,135.24285888671875,,,,,
49,7999,,133.5298614501953,,,,,
49,8049,,130.62754821777344,,,,,
49,8049,,,292.6380310058594,45031088.0,734.5942993164062,0.5729783177375793,172.62571716308594
49,8049,115.80470275878906,,,,,,
50,8099,,101.4534912109375,,,,,
50,8149,,130.4658966064453,,,,,
50,8199,,96.7510757446289,,,,,
50,8210,,,311.39910888671875,58492584.0,778.75927734375,0.608633816242218,176.8263702392578
50,8210,117.11470031738281,,,,,,
51,8249,,187.43321228027344,,,,,
51,8299,,113.82872009277344,,,,,
51,8349,,147.6912384033203,,,,,
51,8371,,,311.3958740234375,44164744.0,798.8473510742188,0.5853292346000671,174.75958251953125
51,8371,117.65022277832031,,,,,,
52,8399,,93.43041229248047,,,,,
52,8449,,115.98111724853516,,,,,
52,8499,,123.62163543701172,,,,,
52,8532,,,278.1575012207031,39192576.0,695.5439453125,0.5676413774490356,157.4128875732422
52,8532,117.9164047241211,,,,,,
53,8549,,145.63446044921875,,,,,
53,8599,,77.92188262939453,,,,,
53,8649,,104.82766723632812,,,,,
53,8693,,,286.8338623046875,44871732.0,719.9041137695312,0.5925341844558716,162.19688415527344
53,8693,116.69171905517578,,,,,,
54,8699,,77.4543685913086,,,,,
54,8749,,141.5384063720703,,,,,
54,8799,,124.74020385742188,,,,,
54,8849,,123.81188201904297,,,,,
54,8854,,,314.0351867675781,37515632.0,803.327880859375,0.5997339487075806,179.65606689453125
54,8854,118.07259368896484,,,,,,
55,8899,,132.06314086914062,,,,,
55,8949,,136.85702514648438,,,,,
55,8999,,122.47246551513672,,,,,
55,9015,,,303.8406066894531,34953620.0,745.719482421875,0.5843329429626465,175.36878967285156
55,9015,117.3424301147461,,,,,,
56,9049,,134.56036376953125,,,,,
56,9099,,156.4081573486328,,,,,
56,9149,,100.41038513183594,,,,,
56,9176,,,278.394775390625,32298716.0,688.4737548828125,0.5892272591590881,160.0513153076172
56,9176,118.70614624023438,,,,,,
57,9199,,107.59544372558594,,,,,
57,9249,,123.4205093383789,,,,,
57,9299,,145.63275146484375,,,,,
57,9337,,,305.6819763183594,55789924.0,757.5280151367188,0.5845615863800049,168.9040985107422
57,9337,114.8970947265625,,,,,,
58,9349,,92.97836303710938,,,,,
58,9399,,120.5503158569336,,,,,
58,9449,,106.8221664428711,,,,,
58,9498,,,289.5832824707031,33100944.0,733.719970703125,0.5765231847763062,163.54397583007812
58,9498,115.06221008300781,,,,,,
59,9499,,87.04155731201172,,,,,
59,9549,,105.23372650146484,,,,,
59,9599,,89.90796661376953,,,,,
59,9649,,121.16968536376953,,,,,
59,9659,,,292.4309997558594,46093276.0,738.8258056640625,0.573074221611023,168.5319061279297
59,9659,114.56417083740234,,,,,,
60,9699,,111.76976776123047,,,,,
60,9749,,112.8946304321289,,,,,
60,9799,,113.83891296386719,,,,,
60,9820,,,304.4585876464844,55141816.0,750.712158203125,0.57440185546875,175.39193725585938
60,9820,114.26105499267578,,,,,,
61,9849,,105.02711486816406,,,,,
61,9899,,103.44635772705078,,,,,
